Standard mean,0.87572837,0.05971294,0.02608891,0.018396785,0.01120334,0.008346698,0.006817345,0.005840691,0.005239284,0.004815444,0.004318218,0.004402035,0.00404792,0.004017287,0.004127341,0.003731822,0.003499734,0.003513984,0.003657806,0.003573681,0.003270352,0.003357304,0.003243937,0.003317609,0.003516465,0.003359475,0.003361118,0.003381275,0.005540419,0.003364498,0.003496631,0.00343544,0.003353087,0.003179388,0.00343142,0.003661459,0.003635075,0.003512578,0.003459286,0.003539881,0.003669816,0.003474725,0.003398673,0.003614867,0.003510132,0.003474708,0.003777131,0.003626535,0.003567897,0.003458804,0.003678718
Standard stdev,0.37505117,0.046180706,0.029071787,0.026170265,0.020044236,0.021348508,0.019842057,0.020261118,0.02046939,0.019722741,0.019785266,0.021030078,0.019420784,0.020338645,0.022427833,0.020729689,0.019669324,0.019611059,0.020118443,0.020318476,0.019346017,0.019741816,0.019607266,0.020170614,0.02000961,0.01968777,0.019328566,0.019530285,0.038624458,0.019748436,0.020947548,0.02070667,0.02008859,0.019208517,0.020619364,0.020146716,0.020597544,0.020146267,0.020196108,0.019854113,0.019812591,0.020385357,0.019919489,0.021454655,0.020904748,0.020066785,0.021761816,0.020819657,0.02016094,0.020104446,0.019541645
Sequential mean,1.2318379,0.024922393,0.008915404,0.004450759,0.00193553,0.001292098,0.001127156,0.001410353,0.001813429,0.002172435,0.002225963,0.002388447,0.002661919,0.002736294,0.003020629,0.003087936,0.003165895,0.003234872,0.00338881,0.003483073,0.003481228,0.0036478,0.00355866,0.003855838,0.003692231,0.003790357,0.003676864,0.003721196,0.003940258,0.003894285,0.004000007,0.003916745,0.004047003,0.003980063,0.004195947,0.004075511,0.004141823,0.004087581,0.004112531,0.004187248,0.004189932,0.004308792,0.004142318,0.004225139,0.004081004,0.004161731,0.004319725,0.004188508,0.004254539,0.004075849,0.004340184
Sequential stdev,0.6125832,0.01930414,0.007742382,0.006161259,0.003624867,0.002304858,0.001662104,0.001700896,0.001856886,0.001768968,0.001269183,0.00102852,0.001070118,0.001098599,0.001042004,0.0009971,0.000909684,0.000976853,0.000886935,0.000956326,0.000838538,0.001117633,0.000904041,0.001367789,0.00095376,0.001138992,0.00101536,0.000911104,0.000843955,0.001001746,0.000887785,0.000775411,0.000936961,0.000952064,0.00110566,0.000994912,0.001154176,0.001109724,0.000964038,0.001172879,0.001056972,0.001047673,0.000902492,0.000943904,0.000854936,0.000942437,0.001060594,0.001160534,0.001067428,0.001026915,0.00114047
,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,params,seqparams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makedata1,100,10,500,8,112,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference,-0.35610953,0.034790547,0.017173506,0.013946026,0.00926781,0.0070546,0.005690189,0.004430338,0.003425855,0.002643009,0.002092255,0.002013588,0.001386001,0.001280993,0.001106712,0.000643886,0.000333839,0.000279112,0.000268996,9.0608E-05,-0.000210876,-0.000290496,-0.000314723,-0.000538229,-0.000175766,-0.000430882,-0.000315746,-0.000339921,0.001600161,-0.000529787,-0.000503376,-0.000481305,-0.000693916,-0.000800675,-0.000764527,-0.000414052,-0.000506748,-0.000575003,-0.000653245,-0.000647367,-0.000520116,-0.000834067,-0.000743645,-0.000610272,-0.000570872,-0.000687023,-0.000542594,-0.000561973,-0.000686642,-0.000617045,-0.000661466
Sum-stdev,0.493817185,0.032742423,0.018407085,0.016165762,0.011834552,0.011826683,0.010752081,0.010981007,0.011163138,0.010745855,0.010527225,0.011029299,0.010245451,0.010718622,0.011734919,0.010863395,0.010289504,0.010293956,0.010502689,0.010637401,0.010092278,0.010429725,0.010255654,0.010769202,0.010481685,0.010413381,0.010171963,0.010220695,0.019734207,0.010375091,0.010917667,0.010741041,0.010512776,0.010080291,0.010862512,0.010570814,0.01087586,0.010627996,0.010580073,0.010513496,0.010434782,0.010716515,0.010410991,0.01119928,0.010879842,0.010504611,0.011411205,0.010990096,0.010614184,0.010565681,0.010341058
Is it?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
