a,b,a+b,a*b,(1/(1+a)) + (1/(1+b))
8.592791069967612,10.13618008510197,17.877677849607984,5.202242906320552,5.133926661494655
8.639724382929977,9.025116128378137,16.62400244725443,4.419037592367051,4.84983611439867
5.229073442857448,4.624428922322096,2.0955570433728905,0.9583542791361337,0.9904373560061543
3.477835758948917,4.130309603737898,0.9201760047832721,0.38251956447056806,0.32005818844741896
3.487183198078296,4.463755928290604,0.8646513041532791,0.6297490383701534,0.403286128431418
3.47648537376139,4.156323979801193,0.4318126426861124,0.5505275491724707,0.1528864333233173
3.8494905606923737,3.9880424006024606,0.2162172810805878,0.2627769115878556,0.19577481600406088
3.415834909782963,3.7090117694571108,0.1860535819239859,0.18784702194031916,0.23151964311810502
3.1405380592736885,3.2547764029459927,0.25107526202788244,0.19969457081578768,0.3643076680014872
1.9020688808575716,1.8245042751595826,1.0973714024014491,0.7922294187986569,1.2973780063958884
0.2341092930998166,0.3464809507184885,0.3550898794925097,0.44845348617059033,0.8078257933320572
0.09157104850167667,0.1618105364140532,0.1590603347501347,0.47065717670294294,0.18298773711563854
0.0795381992442727,0.06268853950673628,0.12577764501023592,0.43102111627592743,0.11988948328287918
0.04916943420983527,0.10455296179861898,0.12052401135144675,0.337667954542198,0.12268128966982772
0.041512732795715046,0.13427670853575216,0.1682123946399996,0.23758506689606218,0.13897189829838297
0.031906517769746026,0.0544127457637438,0.07008125345164395,0.18639028658146173,0.1386130716369287
0.036177648251287296,0.11933254162202059,0.1386059740678871,0.1649276565834441,0.15719561173660068
0.1460166477538673,0.063890697124418,0.29682710186117345,0.43959815171755307,0.12212037636271944
0.07030837869042768,0.036054117212801745,0.08019230061898797,0.16252002842190633,0.14932923054815816
0.04745830905914168,0.04182687727384907,0.09082870139596033,0.13128627415206723,0.12043002153233218
